"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
study_scope,eoi,"<p style=""font-size: 16px; text-align: center;""><span style=""font-weight: bold;"">Project Scope",radio,"Scope of project","1, Single site, Australia | 2, Multisite, Australia | 4, Single site, International | 3, Multisite, International",,,,,,"[role] = ""0"" or [role] = ""1"" or [role] = ""4""",,,,,,
start_date,eoi,,text,"Project start date",,DD-MM-YYYY,date_dmy,,,y,"[intervention_yn] <> """"",,,,,,
end_date,eoi,,text," Anticipated completion date",,DD-MM-YYYY,date_dmy,,,y,"[intervention_yn] <> """"",,,,,,
funding_sources,eoi,"<p style=""font-size: 16px; text-align: center;""><span style=""font-weight: bold;"">Funding",checkbox,"List your sources of funding","1, Competitive grant | 2, Commercial partner | 3, Philanthropic donor | 4, Self-funded | 5, Other",,,,,,"[intervention_yn] <> """"",,,,,,
funding_body,eoi,,text,"Name of funding body",,,,,,,"[funding_sources(1)] = '1'",,,,,,
funding_grant,eoi,,text,"Grant number",,,,,,,"[funding_sources(1)] = '1'",,,,,,
funding_admin,eoi,,dropdown,"Administering Institution","1, Florey Department | 3, Florey Institute | 2, Other | 4, Unsure",,,,,,"[funding_sources(1)] = '1'",,,,,,
funding_admin_other,eoi,,text,"Please state the Institution",,,,,,,"[funding_admin] = '2'",,,,,,
funding_partner,eoi,,text,"Name of commercial partner",,,,,,,"[funding_sources(2)] = '1'",,,,,,
funding_donor,eoi,,text,"Name of donor",,,,,,,"[funding_sources(3)] = '1'",,,,,,
funding_sources_other,eoi,,text,"Please describe the other source",,,,,,,"[funding_sources(5)] = '1'",,,,,,
sponsor_label_1,eoi,"<p style=""font-size: 16px; text-align: center;""><span style=""font-weight: bold;"">Sponsor Details",text,"Sponsor label",,,,,,,"[role] = '1' or [role] = '2'",,,,,," @CALCTEXT(IF([role]='1', 'Primary Sponsor', IF([role]='2', 'Sponsor', '')))
@HIDDEN"
sponsor,eoi,,text,"Name of [sponsor_label_1]",,,,,,,"[role] = '1' or [role] = '2'",,,,,,
mapmeet_heading,mapping_meeting,,descriptive,"<div class=""rich-text-field-label""><div class=""blue"" style=""text-align: center; background-color: #c4c0ff; border: 1px solid #000000;""> <h6 style=""text-align: center;""><span style=""color: #000000;""><strong>Mapping Meeting Record</strong></span></h6> <p style=""text-align: center;""><em><span style=""color: #000000; font-weight: bold;"">For CGC Only</span></em></p> </div></div>",,,,,,,,,,,,,
ix_label_short_1,mapping_meeting,,text,"Investigator label",,,,,,,,,,,,," @CALCTEXT(IF([eoi_arm_1][role]=""0"" or [eoi_arm_1][role]=""1"" or [eoi_arm_1][role]=""4"", 'CI / PI', 'Florey PI'))
@HIDDEN"
mapmeet_date,mapping_meeting,"<p style=""font-size: 16px; text-align: center;""><span style=""font-weight: bold;"">Meeting Notes",text,"<div class=""rich-text-field-label""><p>Date of the meeting</p></div>",,DD-MM-YYY,date_dmy,,,,,,,,,,
mapmeet_attend,mapping_meeting,,notes,"Meeting attendees",,,,,,,,,,,,,
mapmeet_role,mapping_meeting,"<p style=""font-size: 16px; text-align: center;""><span style=""font-weight: bold;"">Florey's Role",radio,"Confirmation of Florey's role?","0, Primary Sponsor only | 1, Local Sponsor only | 2, Participating Site only | 4, Both Primary Sponsor and a Participating Site | 3, Use of Florey premises only | 5, Not confirmed",,,,,,,,,,,,
mapmeet_role_comment,mapping_meeting,,notes,"Please comment",,,,,,,"[mapmeet_role] = '5'",,,,,,
mapmeet_affiliation,mapping_meeting,"<p style=""font-size: 16px; text-align: center;""><span style=""font-weight: bold;"">[ix_label_short_1]",yesno,"<div class=""rich-text-field-label""><p>[ix_label_short_1] has Florey Affiliation?<br /><br /><em><span style=""font-weight: normal;"">Either paid staff or Term Visitor and acting in this capacity for the study</span></em></p></div>",,,,,,,,,RH,,,,
mapmeet_affiliation_comment,mapping_meeting,,notes,"Please comment",,,,,,,"[mapmeet_affiliation] = '0'",,,,,,
mapmeet_capacity,mapping_meeting,,yesno,"[ix_label_short_1] has the capacity and resources to support the project?",,,,,,,,,RH,,,,
mapmeet_capacity_comment,mapping_meeting,,notes,"Please comment",,,,,,,"[mapmeet_capacity] = '0'",,,,,,
mapmeet_funding,mapping_meeting,"<p style=""font-size: 16px; text-align: center;""><span style=""font-weight: bold;"">Funding",radio,"Confirmation of funding source?","1, Yes | 0, No | 2, Not applicable",,,,,,,,RH,,,,
mapmeet_funding_comment,mapping_meeting,,notes,"Please comment",,,,,,,"[mapmeet_funding] = '0'",,,,,,
mapmeet_coi,mapping_meeting,"<p style=""font-size: 16px; text-align: center;""><span style=""font-weight: bold;"">Conflicts of Interest",yesno,"Any possible conflicts of interest?",,,,,,,,,RH,,,,
mapmeet_coi_comment,mapping_meeting,,notes,"Please comment",,,,,,,"[mapmeet_coi] = '1'",,,,,,
mapmeet_insurance,mapping_meeting,"<p style=""font-size: 16px; text-align: center;""><span style=""font-weight: bold;"">Insurance",yesno,"<div class=""rich-text-field-label""><p>Does insurance need to be confirmed?</p> <p><em><span style=""font-weight: normal;"">Studies where the Florey is the Sponsor and with international sites, must be reported to the insurer prior to receiving approval.</span></em></p></div>",,,,,,,,,RH,,,,
mapmeet_insurance_desc,mapping_meeting,,descriptive,"<div class=""rich-text-field-label""><div style=""background-color: #c1ffc1; padding: 10px; border: 1px solid #000000; text-align: center;""> <p style=""margin: 6px; text-align: center;""><span style=""font-weight: normal;"">Please reach out to the insurance broker for confirmation</span></p> </div></div>",,,,,,,"[mapmeet_insurance] = '1'",,,,,,
mapmeet_staff,mapping_meeting,"<div class=""rich-text-field-label""><p style=""font-size: 16px; text-align: center;""><span style=""font-weight: bold;"">Agreements: <em>Team Members</em></span></p></div>",yesno,"<div class=""rich-text-field-label""><p>Do all individuals have a formal relationship with the Florey?</p> <p><em><span style=""font-weight: normal;"">e.g. staff, Honoraries, Term Visitors, students, contracted staff</span></em></p></div>",,,,,,,,,RH,,,,
mapmeet_staff_comment,mapping_meeting,,notes,"Please comment",,,,,,,"[mapmeet_staff] = '0'",,,,,,
mapmeet_mia,mapping_meeting,"<div class=""rich-text-field-label""><p style=""font-size: 16px; text-align: center;""><span style=""font-weight: bold;"">Agreements: <em>Collaborators</em></span></p></div>",yesno,"Is a Multi-Institutional Agreement (MIA) required?",,,,,,,"[eoi_arm_1][role] = '0' OR [eoi_arm_1][role] = '4'",,RH,,,,
sponsor_label_2,mapping_meeting,"<div class=""rich-text-field-label""><p style=""font-size: 16px; text-align: center;""><span style=""font-weight: bold;"">Agreements: <em>Sponsor</em></span></p></div>",text,"Sponsor label",,,,,,,"[eoi_arm_1][role] = '1' or [eoi_arm_1][role] = '2'",,,,,," @CALCTEXT(IF([eoi_arm_1][role]='1', 'Primary Sponsor', IF([eoi_arm_1][role]='2', 'Sponsor', '')))
@HIDDEN"
mapmeet_sponsor_table,mapping_meeting,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 100.141%; height: 102.995px;"" border=""1""> <tbody> <tr style=""height: 25.1562px; background-color: #cccccc;""> <td style=""width: 23.48%; height: 25.1562px; text-align: center;"">[sponsor_label_2]</td> <td style=""width: 19.0938%; height: 25.1562px; text-align: center;"">Florey receives</td> <td style=""width: 19.5209%; height: 25.1562px; text-align: center;"">Florey provides</td> <td style=""width: 37.9075%; height: 25.1562px; text-align: center;"">Agreements required</td> </tr> <tr style=""height: 77.839px;""> <td style=""width: 23.48%; height: 77.839px;""> <p>Country: {mapmeet_country_sponsor}{mapmeet_country_sponsor_oth}</p> <p>Name of entity: {mapmeet_entity_sponsor}</p> </td> <td style=""width: 19.0938%; height: 77.839px;""> <p>{mapmeet_receives_sponsor}</p> <p>{mapmeet_receives_sponsor_oth}</p> </td> <td style=""width: 19.5209%; height: 77.839px;""> <p>{mapmeet_provides_sponsor}</p> <p>{mapmeet_provides_sponsor_oth}</p> </td> <td style=""width: 37.9075%; height: 77.839px;""> <p>{mapmeet_agree_sponsor}</p> <p>{mapmeet_agree_sponsor_oth}</p> </td> </tr> </tbody> </table></div>",,,,,,,"[eoi_arm_1][role] = '1' OR [eoi_arm_1][role] = '2'",,,,,,
mapmeet_country_sponsor,mapping_meeting,,radio,Country,"1, Australia | 2, Other",,,,,,,,,,,,
mapmeet_country_sponsor_oth,mapping_meeting,,text,Country,,,,,,,"[mapmeet_country_sponsor] = '2'",,RH,,,,
mapmeet_entity_sponsor,mapping_meeting,,notes,"Name of entity",,,,,,,,,RH,,,," @IF([eoi_arm_1][role] = ""1"", @DEFAULT = ""[eoi_arm_1][sponsor]"", 
  @IF([eoi_arm_1][role] = ""2"", @DEFAULT = ""[eoi_arm_1][sponsor]"", 
    @DEFAULT = """")
)"
mapmeet_receives_sponsor,mapping_meeting,,checkbox,"Items Florey to receive","2, Participant data | 3, IP / Other study materials | 4, Funding | 5, Participant referrals | 6, Services | 7, Staff / students | 8, Premises use | 9, Other",,,,,,,,LV,,,,
mapmeet_receives_sponsor_oth,mapping_meeting,,text,"Please describe",,,,,,,"[mapmeet_receives_sponsor(9)] = '1'",,RH,,,,
mapmeet_provides_sponsor,mapping_meeting,,checkbox,"Items Florey providing","2, Participant data | 3, IP / Other study materials | 4, Funding | 5, Participant referrals | 6, Services | 7, Staff / students | 8, Premises use | 9, Other",,,,,,,,LV,,,,
mapmeet_provides_sponsor_oth,mapping_meeting,,text,"Please describe",,,,,,,"[mapmeet_provides_sponsor(9)] = '1'",,RH,,,,
mapmeet_agree_sponsor,mapping_meeting,,checkbox,"Agreements recommended by Legal","1, Non-Disclosure (Confidentiality) Agreement | 2, Clinical Trial Research Agreement (CTRA) | 3, Collaboration/MACH Agreement | 4, Funding Agreement | 5, Data Transfer Agreement | 6, Indemnity Agreement | 7, Services Agreement | 8, Licensing Agreement | 9, Commercial Agreement | 10, Other | 11, None",,,,,,,,,,,," @NONEOFTHEABOVE='11'"
mapmeet_agree_sponsor_oth,mapping_meeting,,text,"Please describe the type of agreement",,,,,,,"[mapmeet_agree_sponsor(10)] = '1'",,,,,,
mapmeet_au_sites_text,mapping_meeting,"<div class=""rich-text-field-label""><p style=""font-size: 16px; text-align: center;""><span style=""font-weight: bold;"">Agreements: <em>Australian Participating Sites</em></span></p></div>",text,"Number of Participating Sites text",,,,,,,,,RH,,,," @CALCTEXT(IF([eoi_arm_1][role]='0', '<p>How many Participating Sites are planned <span style=""text-decoration: underline;"">in Australia</span>?</p>', IF([eoi_arm_1][role]='1', '<p>How many Participating Sites are planned <span style=""text-decoration: underline;"">in Australia</span>?</p>', IF([eoi_arm_1][role]='4', '<p>Other than the Florey, how many Participating Sites are planned <span style=""text-decoration: underline;"">in Australia</span>?</p>', ''))))
@HIDDEN"
mapmeet_au_sites_num,mapping_meeting,,text,"<div class=""rich-text-field-label""><p>[mapmeet_au_sites_text]</p></div>",,"0 - 15",integer,0,15,,"[eoi_arm_1][role] = '0' OR [eoi_arm_1][role] = '1' OR [eoi_arm_1][role] = '4'",,RH,,,,
entities_table_au_11,mapping_meeting,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 100.141%; height: 45.3854px;"" border=""1""> <tbody> <tr style=""height: 25.1562px; background-color: #cccccc;""> <td style=""width: 23.48%; height: 25.1562px; text-align: center;"">Participating Site</td> <td style=""width: 19.0938%; height: 25.1562px; text-align: center;"">Florey receives</td> <td style=""width: 19.5209%; height: 25.1562px; text-align: center;"">Florey provides</td> <td style=""width: 37.9075%; height: 25.1562px; text-align: center;"">Agreements required</td> </tr> <tr style=""height: 20.2292px;""> <td style=""width: 23.48%; height: 20.2292px;""> <p>Name of entity: {entity_au_11}</p> </td> <td style=""width: 19.0938%; height: 20.2292px;""> <p style=""margin: 0;"">{receives_au_12_11}</p> <p style=""margin: 0;"">{receives_au_data_11}</p> <p style=""margin: 0;"">{receives_au_35_11}</p> <p style=""margin: 0;"">{receives_au_serv_11}</p> <p style=""margin: 0;"">{receives_au_68_11}</p> <p style=""margin: 0;"">{receives_au_oth_11}</p> </td> <td style=""width: 19.5209%; height: 20.2292px;""> <p style=""margin: 0;"">{provides_au_12_11}</p> <p style=""margin: 0;"">{provides_au_data_11}</p> <p style=""margin: 0;"">{provides_au_35_11}</p> <p style=""margin: 0;"">{provides_au_serv_11}</p> <p style=""margin: 0;"">{provides_au_68_11}</p> <p style=""margin: 0;"">{provides_au_oth_11}</p> </td> <td style=""width: 37.9075%; height: 20.2292px;""> <p>{agree_au_11}</p> <p>{agree_au_oth_11}</p> </td> </tr> </tbody> </table></div>",,,,,,,"[mapmeet_au_sites_num] <> """" AND [mapmeet_au_sites_num] >= '1'",,,,,,
entities_table_au_21,mapping_meeting,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 100.141%; height: 43.2955px;"" border=""1""> <tbody> <tr style=""height: 43.2955px;""> <td style=""width: 23.48%; height: 43.2955px;"">Name of entity: {entity_au_21}</td> <td style=""width: 19.0938%; height: 43.2955px;""> <p style=""margin: 0;"">{receives_au_12_21}</p> <p style=""margin: 0;"">{receives_au_data_21}</p> <p style=""margin: 0;"">{receives_au_35_21}</p> <p style=""margin: 0;"">{receives_au_serv_21}</p> <p style=""margin: 0;"">{receives_au_68_21}</p> <p style=""margin: 0;"">{receives_au_oth_21}</p> </td> <td style=""width: 19.5209%; height: 43.2955px;""> <p style=""margin: 0;"">{provides_au_12_21}</p> <p style=""margin: 0;"">{provides_au_data_21}</p> <p style=""margin: 0;"">{provides_au_35_21}</p> <p style=""margin: 0;"">{provides_au_serv_21}</p> <p style=""margin: 0;"">{provides_au_68_21}</p> <p style=""margin: 0;"">{provides_au_oth_21}</p> </td> <td style=""width: 37.9075%; height: 43.2955px;""> <p>{agree_au_21}</p> <p>{agree_au_oth_21}</p> </td> </tr> </tbody> </table></div>",,,,,,,"[mapmeet_au_sites_num] <> """" AND [mapmeet_au_sites_num] >= '2'",,,,,,
entities_table_au_31,mapping_meeting,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 100.141%; height: 43.2955px;"" border=""1""> <tbody> <tr style=""height: 43.2955px;""> <td style=""width: 23.48%; height: 43.2955px;"">Name of entity: {entity_au_31}</td> <td style=""width: 19.0938%; height: 43.2955px;""> <p style=""margin: 0;"">{receives_au_12_31}</p> <p style=""margin: 0;"">{receives_au_data_31}</p> <p style=""margin: 0;"">{receives_au_35_31}</p> <p style=""margin: 0;"">{receives_au_serv_31}</p> <p style=""margin: 0;"">{receives_au_68_31}</p> <p style=""margin: 0;"">{receives_au_oth_31}</p> </td> <td style=""width: 19.5209%; height: 43.2955px;""> <p style=""margin: 0;"">{provides_au_12_31}</p> <p style=""margin: 0;"">{provides_au_data_31}</p> <p style=""margin: 0;"">{provides_au_35_31}</p> <p style=""margin: 0;"">{provides_au_serv_31}</p> <p style=""margin: 0;"">{provides_au_68_31}</p> <p style=""margin: 0;"">{provides_au_oth_31}</p> </td> <td style=""width: 37.9075%; height: 43.2955px;""> <p>{agree_au_31}</p> <p>{agree_au_oth_31}</p> </td> </tr> </tbody> </table></div>",,,,,,,"[mapmeet_au_sites_num] <> """" AND [mapmeet_au_sites_num] >= '3'",,,,,,
entities_table_au_41,mapping_meeting,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 100.141%; height: 43.2955px;"" border=""1""> <tbody> <tr style=""height: 43.2955px;""> <td style=""width: 23.48%; height: 43.2955px;"">Name of entity: {entity_au_41}</td> <td style=""width: 19.0938%; height: 43.2955px;""> <p style=""margin: 0;"">{receives_au_12_41}</p> <p style=""margin: 0;"">{receives_au_data_41}</p> <p style=""margin: 0;"">{receives_au_35_41}</p> <p style=""margin: 0;"">{receives_au_serv_41}</p> <p style=""margin: 0;"">{receives_au_68_41}</p> <p style=""margin: 0;"">{receives_au_oth_41}</p> </td> <td style=""width: 19.5209%; height: 43.2955px;""> <p style=""margin: 0;"">{provides_au_12_41}</p> <p style=""margin: 0;"">{provides_au_data_41}</p> <p style=""margin: 0;"">{provides_au_35_41}</p> <p style=""margin: 0;"">{provides_au_serv_41}</p> <p style=""margin: 0;"">{provides_au_68_41}</p> <p style=""margin: 0;"">{provides_au_oth_41}</p> </td> <td style=""width: 37.9075%; height: 43.2955px;""> <p>{agree_au_41}</p> <p>{agree_au_oth_41}</p> </td> </tr> </tbody> </table></div>",,,,,,,"[mapmeet_au_sites_num] <> """" AND [mapmeet_au_sites_num] >= '4'",,,,,,
entities_table_au_51,mapping_meeting,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 100.141%; height: 43.2955px;"" border=""1""> <tbody> <tr style=""height: 43.2955px;""> <td style=""width: 23.48%; height: 43.2955px;"">Name of entity: {entity_au_51}</td> <td style=""width: 19.0938%; height: 43.2955px;""> <p style=""margin: 0;"">{receives_au_12_51}</p> <p style=""margin: 0;"">{receives_au_data_51}</p> <p style=""margin: 0;"">{receives_au_35_51}</p> <p style=""margin: 0;"">{receives_au_serv_51}</p> <p style=""margin: 0;"">{receives_au_68_51}</p> <p style=""margin: 0;"">{receives_au_oth_51}</p> </td> <td style=""width: 19.5209%; height: 43.2955px;""> <p style=""margin: 0;"">{provides_au_12_51}</p> <p style=""margin: 0;"">{provides_au_data_51}</p> <p style=""margin: 0;"">{provides_au_35_51}</p> <p style=""margin: 0;"">{provides_au_serv_51}</p> <p style=""margin: 0;"">{provides_au_68_51}</p> <p style=""margin: 0;"">{provides_au_oth_51}</p> </td> <td style=""width: 37.9075%; height: 43.2955px;""> <p>{agree_au_51}</p> <p>{agree_au_oth_51}</p> </td> </tr> </tbody> </table></div>",,,,,,,"[mapmeet_au_sites_num] <> """" AND [mapmeet_au_sites_num] >= '5'",,,,,,
